group,collection_name,collection_no,cc,state,early_interval,min_ma,max_ma,paleolng,paleolat,n_occs
amniote,"Head of Godwin Creek, 18 (Belle Plains Formation)",28144,US,Texas,Artinskian,279.3,290.1,-30.3,-1.05,1
amniote,"South of Fulda, 19 (Belle Plains)",28145,US,Texas,Artinskian,279.3,290.1,-30.3,-1.05,5
amniote,"Slippery Creek, 20 (Belle Plains Formation)",28146,US,Texas,Artinskian,279.3,290.1,-30.18,-1.06,5
amniote,"Tit Mountain, 21 (Belle Plains Formation)",28238,US,Texas,Artinskian,279.3,290.1,-30.18,-1.06,4
amniote,"Camp Creek, 22 (Belle Plains Formation)",28147,US,Texas,Artinskian,279.3,290.1,-30.07,-0.98,2
amniote,"Big Wichita, Cummins, 23 (Belle Plains Formation)",28148,US,Texas,Artinskian,279.3,290.1,-30.3,-1.05,5
amniote,"Beaver Creek, 24 (Belle Plains Formation)",28149,US,Texas,Artinskian,279.3,290.1,-30.04,-0.97,3
amniote,"Northeast of Fulda, 26 (Waggoner Ranch Formation)",28249,US,Texas,Artinskian,272.3,290.1,-30.27,-1,2
amniote,"Bluff Bonebed of Udden, 27 (Waggoner Ranch Formation)",28241,US,Texas,Artinskian,272.3,290.1,-29.97,-1.03,2
amniote,"Coal Creek, 28 (Waggoner Ranch Formation)",28242,US,Texas,Artinskian,272.3,290.1,-30.27,-1,2
amniote,"Mitchell Creek, 29 (Waggoner Ranch Formation)",28250,US,Texas,Artinskian,272.3,290.1,-30.29,-0.93,10
amniote,"Whiskey Creek, 30 (Waggoner Ranch Formation)",28251,US,Texas,Kungurian,272.3,279.3,-28.88,1.73,2
amniote,"Moonshine Creek, 31 (Waggoner Ranch Formation)",28252,US,Texas,Artinskian,272.3,290.1,-30.32,-0.89,2
amniote,"Military Trail, 32 (Waggoner Ranch Formation)",28253,US,Texas,Artinskian,272.3,290.1,-30.32,-0.89,3
amniote,"Coffee Creek, 34 (Arroyo Formation)",28256,US,Texas,Kungurian,272.3,279.3,-28.93,1.77,15
amniote,"Indian Creek, 35 (Arroyo Formation)",28264,US,Texas,Kungurian,272.3,279.3,-28.95,1.77,10
amniote,"Pony Creek, 36 (Arroyo Formation)",28261,US,Texas,Kungurian,272.3,279.3,-28.88,1.73,4
amniote,"Craddock Bonebed, Brush Creek, 38 (Arroyo Formation)",28267,US,Texas,Kungurian,272.3,279.3,-29,1.73,13
amniote,"Hog Creek, 39 (Arroyo Formation)",28270,US,Texas,Kungurian,272.3,279.3,-29.02,1.77,5
amniote,"Table Top Mountain, 40 (Arroyo Formation)",28272,US,Texas,Kungurian,272.3,279.3,-29.05,1.64,3
amniote,"Crooked Creek, 41 (Arroyo Formation)",28273,US,Texas,Kungurian,272.3,279.3,-29.05,1.8,1
amniote,"Beaver Creek, 42 (Arroyo Formation)",28275,US,Texas,Kungurian,272.3,279.3,-28.81,1.94,3
amniote,"Dead Man's Creek, 43 (Arroyo Formation)",28276,US,Texas,Kungurian,272.3,279.3,-29.05,1.64,1
amniote,"Soap Creek, 44 (Arroyo Formation)",28277,US,Texas,Kungurian,272.3,279.3,-29.05,1.64,1
amniote,"North Fork of the Little Wichita, 8",28324,US,Texas,Sakmarian,279.3,295.5,-30.08,-1.33,1
amniote,"Shakhovykh homestead, Yuzhnaya Mylva River, PIN 3318",28480,RU,Komi,Ufimian,272.5,279.5,39.93,31.61,1
amniote,"Coal Mine Point; Divison 4, Section XV, coal-group 15",28069,CA,Nova Scotia,Westphalian A,314.6,318.1,-10.29,-13.31,5
amniote,Geraldine Bonebed,11165,US,Texas,Asselian,290.1,298.9,-30.37,-1.69,5
amniote,El Cobre Canyon (Cutler Formation),34761,US,New Mexico,Virgilian,298.9,303.4,-34.62,3.06,10
amniote,"Footprint quarry 1 1/2 miles SW of Attleboro, MA",34780,US,Massachusetts,Pennsylvanian,298.9,323.2,-12.66,-10.94,1
amniote,McLeod farm well,48897,CA,Prince Edward Island,Artinskian,279.3,290.1,-0.67,1.2,1
